TKT,DTK,TK,Size
0.09,2.00,0.90,42.00
0.09,2.25,0.90,42.00
0.09,2.50,0.90,58.00
0.09,2.75,0.90,58.00
0.09,3.00,0.90,58.00
0.09,3.25,0.90,58.00
0.09,3.50,0.90,73.00
0.09,3.75,0.90,73.00
0.09,4.00,0.90,73.00
0.09,5.00,0.90,115.00
0.09,6.00,0.90,182.00
0.09,7.00,0.90,
0.10,0.00,0.90,22.00
0.10,0.25,0.90,38.00
0.10,0.50,0.90,38.00
0.10,0.75,0.90,38.00
0.10,1.00,0.90,38.00
0.10,1.25,0.90,38.00
0.10,1.50,0.90,38.00
0.10,1.75,0.90,38.00
0.10,2.00,0.90,38.00
0.10,2.25,0.90,38.00
0.10,2.50,0.90,38.00
0.10,2.75,0.90,52.00
0.10,3.00,0.90,52.00
0.10,3.25,0.90,52.00
0.10,3.50,0.90,52.00
0.10,3.75,0.90,52.00
0.10,4.00,0.90,65.00
0.10,5.00,0.90,78.00
0.10,6.00,0.90,116.00
0.10,7.00,0.90,199.00
0.15,0.00,0.90,15.00
0.15,0.25,0.90,25.00
0.15,0.50,0.90,25.00
0.15,0.75,0.90,25.00
0.15,1.00,0.90,25.00
0.15,1.25,0.90,25.00
0.15,1.50,0.90,25.00
0.15,1.75,0.90,25.00
0.15,2.00,0.90,25.00
0.15,2.25,0.90,25.00
0.15,2.50,0.90,25.00
0.15,2.75,0.90,25.00
0.15,3.00,0.90,25.00
0.15,3.25,0.90,25.00
0.15,3.50,0.90,25.00
0.15,3.75,0.90,25.00
0.15,4.00,0.90,25.00
0.15,5.00,0.90,34.00
0.15,6.00,0.90,43.00
0.15,7.00,0.90,52.00
0.20,0.00,0.90,11.00
0.20,0.25,0.90,18.00
0.20,0.50,0.90,18.00
0.20,0.75,0.90,18.00
0.20,1.00,0.90,18.00
0.20,1.25,0.90,18.00
0.20,1.50,0.90,18.00
0.20,1.75,0.90,18.00
0.20,2.00,0.90,18.00
0.20,2.25,0.90,18.00
0.20,2.50,0.90,18.00
0.20,2.75,0.90,18.00
0.20,3.00,0.90,18.00
0.20,3.25,0.90,18.00
0.20,3.50,0.90,18.00
0.20,3.75,0.90,18.00
0.20,4.00,0.90,18.00
0.20,5.00,0.90,18.00
0.20,6.00,0.90,25.00
0.20,7.00,0.90,25.00
